Que una estrella brille | Nai elen siluva | frase
Perdóname | Gohenathach nín | frase
Te amo | Le melon | frase
Sé fuerte | No veren | frase
¿Cómo estás? | Manen nalyë? | frase
Mi corazón me habla | Guren bêd enni | frase
Te doy las gracias | Hannon le | frase
Te he encontrado | Le abdollen | frase
Guarda tu alegría | Dartho guin lîn | frase
Una estrella brilla sobre la hora | Elen sila lumenn | frase
Estoy contigo | Im na le | frase
No tengas miedo | Ú-bedin o chae | frase
Siempre fiel | Ui beleg | frase
Estoy perdido | Im lostad | frase
La luz me guía | Galad nîn anna vi | frase
Ven conmigo | Tolo anin | frase
Mi alma está en paz | Fae nîn sí dhínen | frase
Confío en ti | Estelio le | frase
Nunca te olvidaré | Ú-chebin estel anim | frase
Mi fuerza es tuya | Bell nîn na le | frase
