Que una estrella brille | Nai elen siluva | frase | play
Perdóname | Gohenathach nín | frase | play
Te amo | Le melon | frase | play
Sé fuerte | No veren | frase | play
¿Cómo estás? | Manen nalyë? | frase | play
Mi corazón me habla | Guren bêd enni | frase | play
Te doy las gracias | Hannon le | frase | play
Te he encontrado | Le abdollen | frase | play
Guarda tu alegría | Dartho guin lîn | frase | play
Una estrella brilla sobre la hora | Elen sila lumenn | frase | play
Estoy contigo | Im na le | frase | play
No tengas miedo | Ú-bedin o chae | frase | play
Siempre fiel | Ui beleg | frase | play
Estoy perdido | Im lostad | frase | play
La luz me guía | Galad nîn anna vi | frase | play
Ven conmigo | Tolo anin | frase | play
Mi alma está en paz | Fae nîn sí dhínen | frase | play
Confío en ti | Estelio le | frase | play
Nunca te olvidaré | Ú-chebin estel anim | frase | play
Mi fuerza es tuya | Bell nîn na le | frase | play
